time_s	time_ms	time_ms_smooth
0.000	26.426	37.095
0.018	29.096	36.882
0.038	36.012	36.830
0.058	40.465	36.647
0.072	39.024	36.785
0.087	39.906	36.774
0.100	37.623	36.517
0.117	40.415	36.608
0.131	40.622	36.698
0.140	36.691	36.695
0.156	38.521	36.764
0.168	37.522	36.901
0.184	39.915	36.925
0.192	34.106	37.223
0.208	36.111	37.647
0.219	33.890	37.674
0.239	39.000	37.405
0.251	36.593	37.434
0.260	31.879	37.412
0.281	38.346	37.361
0.295	38.500	37.262
0.308	36.634	37.002
0.323	38.280	36.968
0.338	40.039	36.915
0.349	37.518	36.836
0.360	33.878	36.713
0.380	39.689	36.907
0.391	36.674	36.842
0.402	33.750	36.906
0.422	39.757	36.803
0.435	39.344	36.662
0.447	36.351	36.978
0.463	37.940	36.925
0.472	34.112	36.683
0.488	35.843	36.836
0.504	37.212	36.795
0.516	35.547	36.563
0.531	36.832	36.629
0.548	38.961	36.756
0.557	34.476	36.678
0.572	35.497	36.725
0.587	36.412	36.800
0.598	33.077	36.662
0.619	39.777	36.603
0.630	37.037	36.580
0.639	32.438	36.535
0.662	40.451	36.658
0.672	37.258	36.565
0.684	34.240	36.694
0.703	39.167	36.742
0.714	37.070	36.658
0.729	37.727	36.688
0.744	37.839	36.744
0.755	35.647	36.610
0.771	36.299	36.694
0.786	37.856	36.783
0.797	35.776	36.489
0.813	36.835	36.531
0.827	37.166	36.646
0.837	33.531	36.469
0.859	40.440	36.457
0.869	36.737	36.464
0.881	34.728	36.331
0.901	39.711	36.340
0.910	35.882	36.187
0.921	32.159	36.056
0.941	38.508	36.065
0.951	35.296	35.909
0.963	32.431	35.918
0.983	38.077	35.943
0.994	35.314	36.016
1.009	36.021	36.098
1.024	36.958	36.383
1.035	34.413	36.426
1.051	35.866	36.465
1.066	37.273	36.502
1.077	33.911	36.306
1.092	34.568	36.417
1.107	35.857	36.407
1.118	32.416	36.462
1.138	38.085	36.458
1.150	36.387	36.484
1.167	38.671	36.507
1.182	39.221	36.466
1.198	40.642	36.469
1.213	41.521	36.510
1.223	37.713	36.468
1.235	35.658	36.479
1.249	34.806	36.487
1.266	38.662	36.581
1.274	31.900	36.786
1.296	39.874	36.754
1.305	35.214	36.710
1.317	33.074	36.761
1.338	38.649	36.685
1.347	34.278	36.566
1.364	36.098	36.517
1.379	37.989	36.352
1.389	33.357	36.156
1.406	36.162	36.169
1.421	37.472	36.102
1.434	36.239	36.352
1.452	39.705	36.285
1.461	35.068	36.340
1.472	31.307	36.303
1.494	39.347	36.391
1.503	34.489	36.390
1.519	35.702	36.455
1.535	38.000	36.535
1.547	36.509	36.424
1.562	36.629	36.454
1.577	38.036	36.545
1.587	33.977	36.574
1.609	41.069	36.549
1.618	36.991	36.417
1.629	33.258	36.442
1.649	38.956	36.546
1.661	37.403	36.663
1.671	33.069	36.657
1.692	40.260	36.744
1.702	36.285	36.577
1.713	33.326	36.594
1.733	38.729	36.535
1.744	35.648	36.635
1.760	36.876	36.712
1.774	36.845	36.825
1.784	32.941	36.480
1.806	40.339	36.552
1.817	37.648	36.635
1.827	34.242	36.518
1.847	39.201	36.482
1.858	36.669	36.532
1.867	31.527	36.534
1.889	38.427	36.661
1.900	35.030	36.693
1.919	39.111	36.402
1.935	39.972	36.436
1.946	36.802	36.488
1.956	32.455	36.516
1.977	38.789	36.578
1.988	35.332	36.440
2.003	36.022	36.491
2.017	36.497	36.383
2.029	34.331	36.146
2.050	40.318	36.151
2.078	39.460	36.425
2.101	34.109	36.583
2.127	31.470	36.591
2.160	36.480	36.546
2.191	38.191	36.417
2.221	37.535	36.282
2.246	34.488	36.395
2.278	36.898	36.382
2.310	38.908	36.408
2.331	31.557	36.344
2.361	33.268	36.318
2.394	36.794	36.480
2.425	38.375	36.304
2.459	42.393	36.368
2.480	35.228	36.498
2.512	37.982	36.862
2.540	36.736	36.700
2.565	33.440	36.638
2.595	35.264	36.629
2.628	38.468	36.704
2.654	35.982	36.583
2.680	34.430	36.422
2.710	35.841	36.660
2.742	38.389	36.973
2.768	35.921	36.825
2.774	41.060	36.716
2.798	37.350	36.537
2.830	40.574	36.521
2.850	32.421	36.362
2.883	36.641	36.353
2.913	37.306	36.561
2.941	36.370	36.604
2.966	33.880	36.374
2.996	34.877	36.347
3.028	37.501	36.513
3.060	41.097	36.455
3.080	33.103	36.448
3.111	35.645	36.724
3.142	37.930	36.585
3.168	34.817	36.494
3.195	34.001	36.425
3.226	36.508	36.615
3.257	38.651	36.661
3.284	36.337	36.580
3.308	32.722	36.511
3.339	35.313	36.620
3.372	38.561	36.795
3.396	34.402	36.765
3.428	38.220	36.490
3.461	42.817	36.654
3.485	37.583	36.812
3.511	35.069	36.552
3.544	38.849	36.510
3.570	37.187	36.584
3.599	37.791	36.697
3.625	35.266	36.598
3.653	34.660	36.466
3.683	36.587	36.577
3.715	39.253	36.668
3.741	36.761	36.579
3.767	34.211	36.757
3.798	37.207	36.515
3.830	39.585	36.399
3.850	31.432	36.295
3.880	33.778	36.576
3.911	35.856	36.419
3.944	39.325	36.380
3.969	36.179	36.429
3.995	33.027	36.471
4.026	35.505	36.652
