timestamp	delay_ms	delay_smooth
1761758186946819	33.314	36.523
1761758186954953	26.490	37.574
1761758186979867	39.666	38.556
1761758186995433	43.068	39.523
1761758187004756	40.075	39.415
1761758187020550	42.830	39.540
1761758187035962	44.448	40.183
1761758187050981	46.297	41.911
1761758187056744	38.548	42.015
1761758187071880	40.665	41.930
1761758187083873	39.739	42.432
1761758187100883	43.778	42.504
1761758187110805	40.702	42.205
1761758187125314	42.217	41.377
1761758187141002	45.100	41.222
1761758187151505	43.541	41.876
1761758187161484	41.465	42.413
1761758187170483	38.011	42.306
1761758187182133	37.001	42.373
1761758187205017	47.203	42.063
1761758187215012	45.112	41.814
1761758187224563	42.707	41.303
1761758187235499	41.368	41.204
1761758187245898	39.123	41.758
1761758187262313	42.606	42.301
1761758187270773	38.436	42.247
1761758187285726	40.474	42.144
1761758187301295	43.545	42.153
1761758187312145	42.434	42.541
1761758187328480	46.665	42.965
1761758187338286	44.084	43.333
1761758187349428	42.797	43.969
1761758187364613	45.244	44.108
1761758187375277	43.365	43.498
1761758187391123	46.282	43.278
1761758187402194	44.801	42.546
1761758187412464	41.865	42.253
1761758187420841	37.439	42.453
1761758187436697	40.238	42.078
1761758187448532	39.342	42.275
1761758187463189	41.158	42.141
1761758187479411	44.799	42.035
1761758187488105	41.490	42.227
1761758187504034	45.334	42.747
1761758187516044	44.941	42.936
1761758187527237	43.747	42.949
1761758187540037	43.786	43.149
1761758187551124	42.630	43.147
1761758187562681	42.132	43.415
1761758187572483	39.469	42.987
1761758187588952	43.158	42.710
1761758187603473	44.784	42.128
1761758187614945	44.169	41.921
1761758187623904	41.056	41.486
1761758187637414	42.174	41.303
1761758187646047	37.920	41.655
1761758187662262	41.719	41.363
1761758187671500	38.278	41.372
1761758187686513	40.302	41.116
1761758187701995	42.995	40.985
1761758187712337	40.231	40.993
1761758187729638	44.879	41.725
1761758187739417	41.609	41.822
1761758187750379	39.739	42.098
1761758187765981	42.259	42.608
1761758187781297	45.242	42.648
1761758187790865	42.682	43.353
1761758187801512	41.041	43.288
1761758187817612	45.399	43.568
1761758187828276	43.404	44.078
1761758187845071	47.274	44.210
1761758187854502	44.234	43.777
1761758187866785	44.411	43.218
1761758187879663	44.833	43.718
1761758187891101	43.580	43.629
1761758187901456	40.913	43.452
1761758187910370	37.088	43.332
1761758187932096	46.048	43.383
1761758187942943	44.504	43.112
1761758187952177	41.633	42.691
1761758187968580	46.079	42.143
1761758187979394	44.746	42.867
1761758187988389	41.692	43.448
1761758187999692	40.624	43.045
1761758188009933	38.102	42.667
1761758188032860	48.156	42.905
1761758188040050	42.895	42.363
1761758188051211	42.020	41.888
1761758188062416	40.727	41.393
1761758188077629	44.005	41.810
1761758188086472	40.660	42.288
1761758188098240	39.995	41.817
1761758188107818	36.743	41.555
1761758188128636	44.799	41.035
