timestamp	delay_ms	delay_smooth
1761666938225443	44.395	78.116
1761666938519382	286.313	78.123
1761666938578799	289.995	78.126
1761666938622276	275.935	78.129
1761666938695071	292.433	78.142
1761666938745826	286.681	78.145
1761666938798702	284.151	78.153
1761666938850681	279.035	78.159
1761666938903612	275.259	78.162
1761666938953719	269.420	78.171
1761666939005777	266.078	78.173
1761666939058124	262.780	78.180
1761666939109886	258.374	78.180
1761666939163027	255.604	78.185
1761666939213707	249.674	78.195
1761666939292581	272.160	78.198
1761666939345470	269.142	78.202
1761666939396526	264.850	78.208
1761666939448274	260.503	78.215
1761666939476340	232.372	78.212
1761666939478383	182.081	78.210
1761666939481084	128.601	78.208
1761666939484752	75.595	78.206
1761666939489438	23.841	78.209
1761666939548864	31.814	78.213
1761666939593491	24.983	78.221
1761666939644584	24.604	78.226
1761666939697118	25.675	78.223
1761666939748395	25.481	78.220
1761666939800302	25.955	78.220
1761666939852622	26.821	78.222
1761666939903320	26.084	78.226
1761666939954858	26.168	78.231
1761666940007851	27.705	78.239
1761666940056353	24.842	78.236
1761666940107256	24.273	78.239
1761666940159479	25.041	78.245
1761666940210473	24.591	78.256
1761666940269817	32.432	78.258
1761666940272188	86.306	78.265
1761666940276081	38.696	78.265
1761666940343416	54.637	78.268
1761666940344020	106.635	78.275
1761666940359949	71.170	78.274
1761666940361228	123.843	78.276
1761666940361670	72.891	78.282
1761666940366960	129.575	78.292
1761666940367067	78.288	78.294
1761666940384379	43.854	78.301
1761666940384426	95.647	78.312
1761666940384438	43.913	78.315
1761666940384459	95.680	78.322
1761666940384702	44.177	78.334
1761666940419378	27.180	78.336
1761666940470631	26.857	78.341
1761666940522292	27.035	78.350
1761666940573365	26.581	78.349
1761666940624735	26.485	78.353
1761666940675629	25.923	78.359
1761666940727572	26.329	78.358
1761666940778095	25.351	78.360
1761666940830591	26.375	78.364
1761666940889576	33.839	78.360
1761666940935367	28.151	78.360
1761666940985940	27.211	78.363
1761666941036833	26.614	78.369
1761666941096543	34.806	78.368
1761666941097039	86.820	78.370
1761666941100125	38.388	78.375
1761666941100640	90.421	78.372
1761666941101682	39.945	78.374
1761666941151005	37.783	78.378
1761666941203903	39.080	78.385
1761666941244379	28.062	78.385
1761666941294027	26.142	78.388
1761666941347190	27.813	78.395
1761666941400763	29.518	78.395
1761666941451573	28.575	78.397
1761666941502509	27.924	78.404
1761666941553527	27.414	78.403
1761666941606336	28.644	78.406
1761666941658331	29.057	78.410
1761666941709322	28.431	78.417
1761666941761350	28.869	78.417
1761666941811291	27.254	78.419
1761666941864390	28.798	78.425
1761666941916633	29.432	78.435
1761666941967804	29.017	78.437
1761666942018801	28.499	78.442
1761666942069380	27.566	78.452
1761666942121485	28.116	78.456
1761666942173852	28.903	78.459
1761666942224847	28.343	78.466
1761666942275545	27.499	78.466
1761666942327157	27.577	78.468
1761666942379852	28.687	78.477
1761666942437935	34.590	78.481
1761666942490725	35.454	78.477
1761666942542342	35.190	78.477
1761666942592497	33.482	78.478
1761666942646015	35.097	78.481
1761666942698704	35.946	78.487
1761666942749491	34.810	78.484
1761666942801132	34.559	78.483
1761666942852482	33.996	78.486
1761666942905558	35.161	78.490
1761666942957965	35.621	78.495
1761666943009015	34.777	78.502
1761666943058797	32.640	78.500
1761666943111619	33.624	78.500
1761666943165126	35.225	78.501
1761666943215700	33.914	78.504
1761666943268660	34.934	78.511
1761666943320844	35.268	78.509
1761666943371358	33.892	78.510
1761666943424923	35.661	78.513
1761666943488681	46.017	78.518
1761666943541232	45.604	78.526
1761666943593940	45.440	78.526
1761666943646716	45.826	78.530
1761666943699049	45.079	78.536
1761666943751937	44.926	78.535
1761666943806571	46.608	78.537
1761666943859892	47.058	78.543
1761666943912435	46.788	78.551
1761666943965509	46.993	78.552
1761666944017628	46.077	78.555
1761666944070693	46.323	78.561
1761666944123231	45.823	78.561
1761666944175365	45.207	78.563
1761666944228039	44.987	78.567
1761666944283771	47.964	78.572
1761666944335896	47.206	78.579
1761666944387886	46.395	78.578
1761666944441139	46.797	78.578
1761666944501451	55.321	78.581
1761666944566646	66.035	78.585
1761666944622777	67.589	78.592
1761666944678442	68.862	78.590
1761666944728945	65.111	78.589
1761666944784566	66.198	78.592
1761666944840513	67.716	78.597
1761666944896190	69.202	78.594
1761666944946533	65.260	78.593
1761666945002323	66.883	78.594
1761666945058064	68.186	78.597
1761666945114221	69.967	78.601
1761666945164340	65.558	78.608
1761666945219844	66.701	78.615
1761666945275996	68.643	78.615
1761666945331100	69.278	78.616
1761666945381759	65.712	78.620
1761666945437904	67.519	78.625
1761666945493062	67.655	78.632
1761666945550561	70.684	78.632
1761666945615853	81.209	78.634
1761666945674401	85.382	78.638
1761666945727238	82.562	78.644
1761666945786309	86.550	78.642
1761666945837945	83.245	78.642
1761666945890481	80.979	78.643
1761666945949736	85.285	78.647
1761666946001708	81.624	78.652
1761666946060506	85.330	78.650
1761666946112794	82.331	78.649
1761666946171510	85.715	78.652
1761666946223892	82.983	78.657
1761666946276224	80.089	78.663
1761666946335479	84.375	78.663
1761666946387581	80.760	78.665
1761666946446138	84.470	78.668
1761666946498336	81.253	78.672
1761666946557436	85.105	78.667
1761666946604964	76.506	78.667
1761666946658456	74.466	78.669
1761666946718690	79.384	78.672
1761666946772362	77.760	78.678
1761666946826145	76.293	78.676
1761666946880577	76.029	78.676
1761666946939847	80.517	78.676
1761666946993456	78.857	78.677
1761666947047228	77.492	78.680
1761666947101129	76.224	78.686
1761666947154222	74.578	78.692
1761666947214311	79.744	78.691
1761666947268290	78.865	78.689
1761666947322234	77.886	78.688
1761666947375348	75.977	78.692
1761666947429544	75.218	78.697
1761666947488772	79.479	78.695
1761666947542892	78.219	78.696
1761666947596981	77.184	78.699
1761666947653956	79.143	78.704
1761666947711966	82.365	78.702
1761666947769443	84.819	78.702
1761666947820566	80.983	78.706
1761666947879745	85.319	78.711
1761666947928343	78.524	78.710
1761666947987556	82.802	78.711
1761666948038809	79.042	78.714
1761666948096863	82.285	78.720
1761666948154891	85.559	78.720
1761666948205386	80.654	78.722
1761666948263926	84.511	78.726
1761666948314786	79.890	78.725
1761666948372881	82.801	78.726
1761666948424351	79.355	78.730
1761666948481901	81.427	78.736
1761666948539659	84.311	78.736
1761666948590126	79.540	78.739
1761666948648713	83.168	78.744
1761666948698200	77.080	78.751
1761666948753156	77.399	78.751
1761666948809084	78.051	78.754
1761666948864988	78.750	78.760
1761666948919700	78.414	78.759
1761666948975546	79.008	78.762
1761666949031268	79.705	78.768
1761666949085862	79.256	78.767
1761666949142002	80.606	78.769
1761666949197525	81.425	78.775
1761666949246597	75.638	78.774
1761666949302194	76.411	78.776
1761666949357603	76.501	78.780
1761666949413306	77.087	78.778
1761666949469017	77.774	78.779
1761666949523936	77.350	78.781
1761666949579726	78.030	78.784
1761666949635184	78.293	78.789
1761666949690301	78.356	78.786
1761666949749270	84.062	78.785
1761666949801140	81.709	78.786
1761666949853707	79.954	78.789
1761666949912189	83.796	78.793
1761666949964235	81.328	78.799
1761666950022050	84.438	78.798
1761666950077949	85.367	78.798
1761666950126043	79.044	78.801
1761666950185891	84.281	78.805
1761666950238183	82.082	78.801
1761666950296486	85.826	78.800
1761666950348449	83.088	78.802
1761666950400729	80.785	78.800
1761666950459748	85.253	78.801
1761666950511223	82.606	78.805
1761666950563304	80.271	78.802
1761666950622350	84.529	78.805
1761666950674051	81.739	78.810
1761666950732807	85.440	78.808
1761666950782141	80.346	78.807
1761666950836685	80.362	78.810
1761666950891565	80.716	78.809
1761666950946542	81.294	78.809
1761666950994966	75.581	78.812
1761666951050489	76.934	78.817
1761666951105228	77.534	78.817
1761666951160320	78.850	78.820
1761666951215091	79.536	78.825
1761666951270263	80.117	78.825
1761666951325160	80.770	78.826
1761666951374501	75.898	78.830
1761666951428970	76.244	78.829
